,X,KNN_Density,Mode
0,95.795,0.20290560831101395,96.882
1,235.536,0.004900490036752453,207.019
2,125.419,0.10432733075603166,123.592
3,194.497,0.10644837652919761,196.009
4,124.638,0.15152063839887506,123.592
5,122.183,0.1354630105380741,123.592
6,103.415,0.2193836416587616,104.021
7,259.269,0.0007205721872931774,207.019
8,179.066,0.10305851920366622,179.066
9,142.15,0.12691564894065263,140.149
10,105.536,0.19135840740817261,104.021
11,179.947,0.09363450184197787,179.066
12,79.904,0.04009617307689532,79.31
13,185.323,0.08214820176354096,179.066
14,212.188,0.06435269808983149,207.019
15,196.992,0.08836657566087572,196.009
16,165.37,0.060546996093992396,171.342
17,173.559,0.0983928124444088,171.342
18,140.067,0.15081534546140202,140.149
19,248.482,0.001427655371462821,207.019
20,182.151,0.0918830428098713,179.066
21,97.083,0.20456084774924793,96.882
22,198.788,0.09467455621301775,196.009
23,205.062,0.09272432982563261,207.019
24,202.448,0.06663168059224386,196.009
25,97.245,0.20869328577352617,96.882
26,229.479,0.011863696425756524,207.019
27,141.936,0.11680228969864413,140.149
28,131.982,0.0728883373995304,123.592
29,139.252,0.13300412153171898,140.149
30,185.925,0.07501987464028866,179.066
31,189.363,0.0732042128146025,196.009
32,173.825,0.08509780801662212,171.342
33,79.27,0.04894666771086203,79.31
34,181.057,0.0976562500000007,179.066
35,177.032,0.0758903839294513,179.066
36,90.376,0.13368581827418297,94.192
37,99.979,0.15234975115191673,96.882
38,230.221,0.010367846959298667,207.019
39,108.743,0.13407771492959292,104.021
40,121.075,0.12995323243071275,123.592
41,82.152,0.04300763764035323,94.192
42,99.145,0.15987207675906168,96.882
43,74.826,0.0380725758477097,79.31
44,119.399,0.1342743097931223,119.836
45,152.23,0.12530346933980582,152.892
46,162.055,0.05518139808583442,152.892
47,71.727,0.022935985503906735,79.31
48,80.435,0.03739821934362301,79.31
49,206.5,0.08921319670153761,207.019
50,89.872,0.1156138732485797,94.192
51,86.654,0.06025012477800848,94.192
52,96.31,0.2075539251041674,96.882
53,209.599,0.10412543950046325,207.019
54,226.562,0.017367821844495923,207.019
55,108.23,0.139229226999331,104.021
56,199.459,0.08665804881257286,196.009
57,136.767,0.09050612473047363,140.149
58,155.139,0.13447133736720412,152.892
59,178.917,0.10090915108763944,179.066
60,132.986,0.07846275765208074,140.149
61,93.057,0.16444241851384914,94.192
62,187.365,0.08430895657886452,179.066
63,75.336,0.04267070661538056,79.31
64,71.862,0.023903416429257907,79.31
65,214.381,0.058998132650103764,207.019
66,203.049,0.06344815334149703,207.019
67,132.745,0.08348276051776417,140.149
68,233.124,0.0067462442393399,207.019
69,120.36,0.155122429601951,119.836
70,200.713,0.0637690031629423,196.009
71,89.209,0.10763910416709709,94.192
72,191.589,0.08820917641826514,196.009
73,92.186,0.150114965546365,94.192
74,225.347,0.020228598946401645,207.019
75,178.296,0.07988851398096879,179.066
76,105.55,0.18903591682419707,104.021
77,106.173,0.1849924846803094,104.021
78,113.225,0.15885419107395118,116.037
79,210.719,0.09099822780951353,207.019
80,196.297,0.1018127142903113,196.009
81,138.247,0.10964431384588527,140.149
82,126.513,0.08252622002431016,123.592
83,131.157,0.06735998502991762,123.592
84,99.175,0.15610460319692965,96.882
85,170.808,0.10986247525210446,171.342
86,105.357,0.22313016365035498,104.021
87,168.487,0.06625489250971907,171.342
88,104.925,0.2278410353096647,104.021
89,158.482,0.075806827223505,152.892
90,193.75,0.10399117073364009,196.009
91,105.037,0.23203062061693988,104.021
92,121.977,0.1296726064933038,123.592
93,117.339,0.11421156161353958,116.037
94,222.799,0.024330355030243715,207.019
95,218.468,0.050498674409797,207.019
96,81.808,0.042424968791132514,94.192
97,89.479,0.10806413476721462,94.192
98,72.942,0.029502281175385017,79.31
99,201.778,0.06980205881172477,196.009
100,213.088,0.07020955304879364,207.019
101,70.495,0.018350669700350493,79.31
102,179.586,0.09537758268187267,179.066
103,100.493,0.13156078851747915,96.882
104,182.274,0.08686249120408694,179.066
105,181.543,0.09255515060620349,179.066
106,210.264,0.09602892544880776,207.019
107,140.73,0.14369789873436892,140.149
108,206.791,0.10651787114234927,207.019
109,71.958,0.024629095670835485,79.31
110,181.784,0.09072434315575438,179.066
111,187.667,0.07939405819632073,179.066
112,74.91,0.03935198147655014,79.31
113,212.977,0.06810029593664625,207.019
114,92.223,0.15116737493620705,94.192
115,142.5,0.1300469768694549,140.149
116,134.942,0.08489956042403654,140.149
117,153.39,0.16232912424735738,152.892
118,104.575,0.23025261474869238,104.021
119,114.122,0.14069533887597965,116.037
120,80.087,0.03731158257114777,79.31
121,197.705,0.07724629920705194,196.009
122,139.727,0.14435380308755408,140.149
123,177.795,0.0674650025299378,179.066
124,76.08,0.041939818960061166,79.31
125,192.007,0.0842111219986736,196.009
126,177.341,0.0693981019341521,179.066
127,131.295,0.06896140809264806,123.592
128,154.317,0.13061157957856645,152.892
129,121.565,0.14556801439842398,123.592
130,104.021,0.2566289832667628,104.021
131,144.841,0.09205038175134203,140.149
132,99.615,0.14490382660576315,96.882
133,97.901,0.22062192880486128,96.882
134,90.366,0.1327135610034468,94.192
135,163.455,0.05000304018484369,152.892
136,232.967,0.006923657892536576,207.019
137,218.699,0.04792342067408735,207.019
138,108.22,0.14027409558276857,104.021
139,128.303,0.09455814115336753,123.592
140,180.341,0.0930640828106549,179.066
141,245.448,0.0018212991405449604,207.019
142,196.062,0.1143661103937162,196.009
143,106.87,0.20567561869797082,104.021
144,191.943,0.08742845292554811,196.009
145,174.832,0.08655609817573497,171.342
146,113.996,0.14713565863585537,116.037
147,87.866,0.06544382266268513,94.192
148,119.149,0.1172827922687182,119.836
149,145.473,0.08942675305052572,140.149
150,94.192,0.222919514463462,94.192
151,117.487,0.11608705368155561,116.037
152,173.545,0.09907533976153823,171.342
153,160.805,0.0591416978303988,152.892
154,106.199,0.1870786987703695,104.021
155,190.012,0.08038760329907568,196.009
156,181.188,0.09166063310549107,179.066
157,93.24,0.1602563075280074,94.192
158,89.869,0.11545678919980265,94.192
159,91.775,0.1517568357728506,94.192
160,83.79,0.04441478523785801,94.192
161,138.702,0.12557002512907317,140.149
162,78.33,0.04634774014212543,79.31
163,80.767,0.03523989505700214,94.192
164,101.022,0.1565991917289317,104.021
165,182.757,0.07798145928420275,179.066
166,169.379,0.07028402618389257,171.342
167,83.324,0.043438969377437874,94.192
168,195.055,0.10425996847804248,196.009
169,124.125,0.14976660372475498,123.592
170,139.942,0.1528265888921976,140.149
171,84.855,0.041581397081717576,94.192
172,208.058,0.10637894990359922,207.019
173,108.586,0.13891804238361763,104.021
174,140.037,0.15069827552949422,140.149
175,113.005,0.17188793456707732,116.037
176,114.047,0.14154353794300992,116.037
177,94.84,0.20774316961232583,96.882
178,82.58,0.043294473945299033,94.192
179,170.397,0.08948026195167783,171.342
180,150.873,0.10735714199828426,152.892
181,193.032,0.09380665042248248,196.009
182,200.556,0.06639153571655487,196.009
183,193.795,0.10103749339720068,196.009
184,203.989,0.073164616216103,207.019
185,198.898,0.09531869854517905,196.009
186,166.595,0.057425294429533924,171.342
187,162.114,0.05674337084221442,152.892
188,226.5,0.01765515651684661,207.019
189,140.008,0.1541494963396435,140.149
190,122.128,0.1342743097931223,123.592
191,115.821,0.18076958674626253,116.037
192,216.42,0.055756200437964594,207.019
193,216.196,0.055808900057365864,207.019
194,188.703,0.07997891116070509,196.009
195,211.342,0.08011479488729742,207.019
196,172.619,0.09007204322305187,171.342
197,153.965,0.12948602722754524,152.892
198,211.333,0.08052453034872915,207.019
199,157.569,0.0877914951989026,152.892
200,58.928,0.003916033966112206,79.31
201,176.073,0.09970200069013715,179.066
202,204.893,0.08894732530500658,207.019
203,155.055,0.14315472061996293,152.892
204,138.092,0.11193042941773422,140.149
205,149.31,0.0812144417794383,152.892
206,167.985,0.06367249314549712,171.342
207,70.509,0.018420472483645593,79.31
208,72.416,0.028572199204458575,79.31
209,175.951,0.09614806802475848,179.066
210,209.177,0.10001756308407718,207.019
211,119.944,0.15282658889219589,119.836
212,127.019,0.08485010677113221,123.592
213,137.461,0.10863476947050167,140.149
214,150.99,0.11421156161353958,152.892
215,161.555,0.06293980764084171,152.892
216,120.241,0.15561235406478963,119.836
217,166.642,0.05761843642462399,171.342
218,118.126,0.11405732589633957,116.037
219,146.35,0.0806618075456049,140.149
220,106.084,0.1737558775097515,104.021
221,64.705,0.008210632545817626,79.31
222,111.374,0.13912538271653746,116.037
223,171.099,0.10312472027419786,171.342
224,182.896,0.07432610011547278,179.066
225,141.551,0.13014082278151623,140.149
226,115.16,0.1823166022602885,116.037
227,129.248,0.08177277488306631,123.592
228,107.867,0.15709613450822263,104.021
229,189.078,0.07626810404586236,196.009
230,92.138,0.14468344058958027,94.192
231,170.979,0.11155689245335473,171.342
232,121.12,0.1279162343097941,123.592
233,165.607,0.06069625524134932,171.342
234,117.049,0.11923476084368602,116.037
235,147.577,0.08430895657886452,152.892
236,156.692,0.10610192150579895,152.892
237,141.327,0.1295792664880554,140.149
238,114.683,0.15585818712926366,116.037
239,204.563,0.08224246245775403,207.019
240,76.851,0.040696978074380843,79.31
241,95.292,0.20019118257936339,96.882
242,63.09,0.0066682441064925034,79.31
243,219.433,0.0429363739613907,207.019
244,122.298,0.1387111652084653,123.592
245,193.288,0.09160515685734207,196.009
246,124.679,0.15366645865350356,123.592
247,165.214,0.056153275982120825,171.342
248,103.685,0.21533045149412397,104.021
249,193.13,0.0923864339760354,196.009
250,108.525,0.13850474981263647,104.021
251,122.294,0.13912538271653746,123.592
252,111.547,0.15081534546140038,116.037
253,125.482,0.1087064164723277,123.592
254,144.825,0.09295062462819743,140.149
255,100.584,0.13576265212883998,96.882
256,148.031,0.0982694745531197,152.892
257,107.947,0.14907350814686682,104.021
258,97.87,0.2193836416587616,96.882
259,121.695,0.14358901607206262,123.592
260,172.031,0.08958742393243774,171.342
261,158.778,0.07551546288600089,152.892
262,108.791,0.13646569409386092,104.021
263,113.534,0.1656493312984978,116.037
264,92.658,0.15439186972414012,94.192
265,125.981,0.09177173689299903,123.592
266,130.921,0.06567883940761934,123.592
267,112.052,0.17521355466076002,116.037
268,103.651,0.21255968410230047,104.021
269,122.224,0.13964576895663364,123.592
270,223.972,0.023822319230941108,207.019
271,116.954,0.12191411004650377,116.037
272,102.098,0.15152063839887506,104.021
273,162.782,0.05538938432539074,152.892
274,101.52,0.14556801439842398,104.021
275,204.179,0.07793792462529812,207.019
276,109.075,0.14446355697303195,104.021
277,88.287,0.08002416729852431,94.192
278,141.562,0.1291140747381972,140.149
279,122.554,0.14679761013490705,123.592
280,103.406,0.21754566718645754,104.021
281,129.289,0.08372449417009518,123.592
282,166.064,0.057315363285692825,171.342
283,148.066,0.09614806802475848,152.892
284,178.778,0.10213835845885942,179.066
285,145.649,0.09094335174996822,140.149
286,77.07,0.03916529513066898,79.31
287,178.359,0.08252622002431083,179.066
288,206.875,0.10090915108763944,207.019
289,216.292,0.053361106722159886,207.019
290,152.892,0.1726027931619591,152.892
291,124.798,0.14623677928117368,123.592
292,157.625,0.08494905732455775,152.892
293,108.377,0.13799072260773687,104.021
294,189.597,0.08011479488729871,196.009
295,158.495,0.07635242477358262,152.892
296,69.468,0.016244389431556226,79.31
297,142.47,0.12874372261701428,140.149
298,170.232,0.09034297717511794,171.342
299,184.138,0.09888849333491512,179.066
300,113.162,0.16714257729842605,116.037
301,112.821,0.18200561450919508,116.037
302,149.139,0.07530837272463377,152.892
303,92.812,0.16259105098855306,94.192
304,145.257,0.09072434315575592,140.149
305,106.778,0.2143347050754465,104.021
306,117.455,0.11359648868709618,116.037
307,154.361,0.1322314049586777,152.892
308,185.167,0.08681131283359389,179.066
309,126.724,0.0820071142811779,123.592
310,108.487,0.14058985034069824,104.021
311,108.938,0.13329563732709682,104.021
312,142.642,0.13717421124828647,140.149
313,74.908,0.039320774513878366,79.31
314,76.664,0.043366631389357466,79.31
315,95.098,0.17893902044485607,96.882
316,111.603,0.15647532446723386,116.037
317,117.143,0.11367310071573178,116.037
318,147.525,0.08554641187979686,152.892
319,99.869,0.14348025711662069,96.882
320,125.164,0.11752415620887745,123.592
321,211.523,0.0734026788014017,207.019
322,189.977,0.08200711428117859,196.009
323,142.033,0.1224265330617746,140.149
324,95.783,0.2051170972484775,96.882
325,167.054,0.06129884529526105,171.342
326,139.002,0.12791623430979282,140.149
327,109.97,0.12302845365167527,116.037
328,72.017,0.025091603799862427,79.31
329,217.708,0.0509326766277737,207.019
330,173.612,0.09531869854517905,171.342
331,201.504,0.06888902666694215,196.009
332,193.739,0.1045974337647221,196.009
333,90.654,0.13042297082398965,94.192
334,208.809,0.08758376620879965,207.019
335,143.231,0.11825273542227455,140.149
336,212.555,0.06694235760942215,207.019
337,111.531,0.14895846010319017,116.037
338,141.524,0.1327135610034468,140.149
339,140.495,0.13686988696874094,140.149
340,206.882,0.10123046644265708,207.019
341,145.231,0.09210626299561873,140.149
342,154.844,0.13466879892265016,152.892
343,234.021,0.006094941600128547,207.019
344,216.793,0.05789604833995802,207.019
345,144.122,0.10412543950046516,140.149
346,158.557,0.07543252443768556,152.892
347,144.955,0.0863020073156473,140.149
348,183.703,0.08847174265622634,179.066
